PLN,TOO_SHORT
40000550039,FALSE
40000477449,TRUE
40000327498,FALSE
40000327493,TRUE
40000327501,TRUE
40000327503,FALSE
40000327507,TRUE
40000368877,TRUE
40000368878,TRUE
40000379568,TRUE
40000379565,TRUE
40000379564,TRUE
40000379567,FALSE
40000379566,TRUE
40000327526,TRUE
40000327500,TRUE
40000327513,TRUE
40000477457,TRUE
40000381602,TRUE
40000456971,TRUE
40000421479,TRUE
40000327506,TRUE
40000477434,TRUE
40000421455,FALSE
40000420686,FALSE
40000229906,FALSE
40000379243,FALSE
40000379245,TRUE
40000379572,FALSE
40000379571,FALSE
40000511289,FALSE
40000572960,FALSE
40000572957,FALSE
40000572959,FALSE
40000572958,TRUE
40000421470,FALSE
40000421474,FALSE
40000550345,FALSE
40000550348,FALSE
40000550349,FALSE
40000421472,FALSE
40000572146,TRUE
40000572143,TRUE
40000379214,FALSE
40000462863,TRUE
40000379827,TRUE
40000324254,TRUE
40000324257,TRUE
40000324256,TRUE
40000462860,TRUE
40000421464,FALSE
40000421463,TRUE
40000572182,TRUE
40000462858,FALSE
40000462859,TRUE
40000421454,FALSE
40000512988,TRUE
40000420682,FALSE
40000572168,TRUE
40000513002,TRUE
40000522360,TRUE
40000324259,FALSE
40000474471,TRUE
40000379231,TRUE
40000379233,FALSE
40000379232,FALSE
40000513005,FALSE
40000455075,TRUE
40000455076,FALSE
40000455078,TRUE
40000522361,TRUE
40000572171,FALSE
40000455070,FALSE
40000455071,TRUE
40000572164,TRUE
40000572117,TRUE
40000573039,FALSE
40000573038,FALSE
40000327494,FALSE
40000327492,TRUE
40000477329,FALSE
40000379570,TRUE
40000454958,TRUE
40000230688,FALSE
40000230689,TRUE
40000230687,TRUE
40000421468,TRUE
40000573040,FALSE
40000572965,FALSE
40000572963,FALSE
40000454961,FALSE
40000454965,FALSE
40000454966,FALSE
40000477331,FALSE
40000477330,FALSE
40000379569,TRUE
40000454957,TRUE
40000454959,FALSE
40000421475,FALSE
40000379228,FALSE
40000379225,TRUE
40000379229,TRUE
40000462864,TRUE
40000462867,TRUE
40000462865,TRUE
40000324235,TRUE
40000324261,TRUE
40000474466,TRUE
40000379574,TRUE
40000379575,TRUE
40000379573,TRUE
40000390695,TRUE
40000474453,TRUE
40000474456,TRUE
40000474455,TRUE
40000513000,TRUE
40000474470,FALSE
40000514319,TRUE
40000514396,TRUE
40000512995,TRUE
40000512994,TRUE
40000512997,TRUE
40000512996,TRUE
40000514371,TRUE
40000161552,FALSE
40000461950,FALSE
40000461949,FALSE
40000632176,FALSE
40000632177,FALSE
40000632185,FALSE
40000632186,FALSE
40000382710,FALSE
40000382711,FALSE
40000382712,FALSE
40000382713,TRUE
40000382714,TRUE
40000158091,FALSE
40000632887,FALSE
40000443338,FALSE
40000443337,FALSE
40000633113,FALSE
40000270227,FALSE
40000568953,FALSE
40000433627,FALSE
40000632196,FALSE
40000906349,TRUE
40000632888,FALSE
40000441179,FALSE
40000340316,FALSE
40000366834,FALSE
40000366833,FALSE
40000632184,FALSE
40000632181,FALSE
40000632183,FALSE
40000632182,FALSE
40000632880,FALSE
40000632879,FALSE
40000632878,FALSE
40000568947,FALSE
40000425357,FALSE
40000328006,FALSE
40000425358,FALSE
40000632881,FALSE
40000632882,FALSE
40000632883,FALSE
40000443340,FALSE
40000905222,FALSE
40000905221,FALSE
40000905220,FALSE
40000903352,FALSE
40000903355,FALSE
40000219820,TRUE
40000637382,FALSE
40000219818,TRUE
40000667826,FALSE
40000461949,FALSE
40000903357,TRUE
40000903356,TRUE
40000442163,FALSE
40000667826,FALSE
40000433102,TRUE
40000433103,FALSE
40000172424,FALSE
40000461950,FALSE
40000217545,FALSE
40000161552,FALSE
40000216594,TRUE
40000481313,FALSE
40000159507,TRUE
40000728321,TRUE
40000728308,TRUE
40000220069,FALSE
40000159506,TRUE
40000159505,TRUE
40000159504,TRUE
40000334890,FALSE
40000375040,FALSE
40000323049,TRUE
40000709460,FALSE
40000480085,TRUE
40000217361,FALSE
40000217362,FALSE
40000376524,TRUE
40000319532,FALSE
40000223446,TRUE
40000727867,FALSE
40000314461,FALSE
40000314460,TRUE
40000451242,FALSE
40000458596,FALSE
40000335015,TRUE
40000335016,FALSE
40000458758,FALSE
40000422450,TRUE
40000458759,TRUE
40000168859,FALSE
40000217364,TRUE
40000422056,FALSE
40000376629,FALSE
40000369949,TRUE
40000322978,FALSE
40000322979,FALSE
40000481314,FALSE
40000481315,FALSE
40000383259,FALSE
40000383257,TRUE
40000601707,FALSE
40000422448,FALSE
40000168868,TRUE
40000168864,TRUE
40000168865,TRUE
40000168860,TRUE
40000322991,TRUE
40000317303,TRUE
40000317305,FALSE
40000317304,FALSE
40000576522,TRUE
40000217196,FALSE
40000217194,FALSE
40000727930,TRUE
40000215591,TRUE
40000217512,TRUE
40000274139,FALSE
40000322980,TRUE
40000376630,TRUE
40000480638,TRUE
40000480634,FALSE
40000480635,TRUE
40000732609,TRUE
40000724694,TRUE
40000724698,TRUE
40000335013,TRUE
40000335014,TRUE
40000422451,TRUE
40000601690,TRUE
40000522736,TRUE
40000481318,TRUE
40000481317,TRUE
40000383256,TRUE
40000732235,TRUE
40000383261,TRUE
40000168869,TRUE
40000168867,TRUE
40000732241,TRUE
40000732617,FALSE
40000653237,FALSE
40000653236,FALSE
40000217374,FALSE
40000480426,FALSE
40000451030,FALSE
40000695461,FALSE
40000369964,FALSE
40000219896,TRUE
40000451029,FALSE
40000517979,FALSE
40000376525,FALSE
40000481520,TRUE
40000603949,TRUE
40000383258,TRUE
40000576523,FALSE
40000518110,FALSE
40000428351,FALSE
40000428354,FALSE
40000159500,TRUE
40000480084,TRUE
40000376522,TRUE
40000223448,TRUE
40000518113,FALSE
40000544563,FALSE
40000225316,TRUE
40000717973,TRUE
40000479699,FALSE
40000322987,TRUE
40000458596,FALSE
40000458597,FALSE
40000695580,TRUE
40000480808,TRUE
40000458760,FALSE
40000378367,TRUE
40000150201,TRUE
40000383252,TRUE
40000601705,TRUE
40000383264,TRUE
40000383260,TRUE
40000377168,FALSE
40000435189,TRUE
40000518104,TRUE
40000422455,FALSE
40000383256,TRUE
40000514189,FALSE
40000217363,FALSE
40000319531,FALSE
40000458597,FALSE
40000458757,FALSE
40000479714,FALSE
40000479709,TRUE
40000544568,TRUE
40000603951,FALSE
40000575685,FALSE
40000383263,TRUE
40000503372,FALSE
40000217197,FALSE
40000217195,FALSE
40000272812,FALSE
40000517997,FALSE
40000540816,FALSE
40000518107,FALSE
40000535017,TRUE
40000422451,TRUE
40000512418,TRUE
40000421920,TRUE
40000576524,TRUE
40000286693,TRUE
40000601691,TRUE
40000376627,FALSE
40000376626,FALSE
40000376625,FALSE
40000376628,FALSE
40000369948,TRUE
40000371810,TRUE
40000215152,FALSE
40000254753,TRUE
40000383254,TRUE
40000383255,TRUE
40000383253,TRUE
40000383266,TRUE
40000383265,TRUE
40000317307,TRUE
40000509388,FALSE
