|WEEK|PLN|PLN_LABEL|PRODUCT_CATEGORY|PRODUCT_CATEGORY_LABEL|OPSTUDY|OPSTUDY_LABEL|ACTUAL|BU|SEG|PROMO
2582032|1150412|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|
2665636|1150419|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|443.0|Consumables|C3|
2665637|1150419|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0|Consumables|NoSegment-C|
2807863|1150426|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|658.0|Consumables|C3|
2807864|1150426|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|2.0|Consumables|NoSegment-C|
2920559|1150503|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|646.0|Consumables|C3|
2920560|1150503|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0|Consumables|NoSegment-C|
3006448|1150208|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|703.0|Consumables|C3|
3006449|1150208|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|1.0||NoSegment-C|
3126254|1150215|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|323.0|Consumables|C3|
3247020|1150222|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|341.0|Consumables|C3|
3247021|1150222|40000477449|CHLD MICKEY CAMPING IS FUN SNGLS|017-002|CHILDRENS|17|SUNGLASSES|0.0||NoSegment-C|
